hour,linkID,pollutantID,emrate,emquant
4,2,91,0.0,0.0  
4,3,91,0.0,0.0  
4,4,91,0.0,0.0  
4,5,91,0.0,0.0  
4,7,91,0.0,0.0  
4,8,91,0.0,0.0  
4,10,91,0.0,0.0  
4,11,91,0.0,0.0  
4,13,91,0.0,0.0  
4,14,91,0.0,0.0  
4,16,91,0.0,0.0  
4,18,91,0.0,0.0  
4,20,91,0.0,0.0  
4,21,91,0.0,0.0  
4,22,91,0.0,0.0  
4,23,91,0.0,0.0  
4,24,91,0.0,0.0  
4,25,91,0.0,0.0  
4,26,91,0.0,0.0  
4,28,91,0.0,0.0  
4,29,91,0.0,0.0  
4,32,91,0.0,0.0  
4,34,91,0.0,0.0  
4,35,91,0.0,0.0  
4,36,91,0.0,0.0  
4,37,91,0.0,0.0  
4,38,91,0.0,0.0  
4,41,91,0.0,0.0  
4,43,91,0.0,0.0  
4,44,91,0.0,0.0  
4,45,91,0.0,0.0  
4,47,91,0.0,0.0  
4,49,91,0.0,0.0  
4,53,91,0.0,0.0  
4,55,91,0.0,0.0  
4,57,91,0.0,0.0  
4,58,91,0.0,0.0  
4,59,91,0.0,0.0  
4,61,91,0.0,0.0  
4,63,91,0.0,0.0  
4,64,91,0.0,0.0  
4,65,91,0.0,0.0  
4,66,91,0.0,0.0  
4,67,91,0.0,0.0  
4,69,91,0.0,0.0  
4,70,91,0.0,0.0  
4,75,91,0.0,0.0  
4,77,91,0.0,0.0  
4,78,91,0.0,0.0  
4,81,91,0.0,0.0  
4,82,91,0.0,0.0  
4,83,91,0.0,0.0  
4,85,91,0.0,0.0  
4,87,91,0.0,0.0  
4,93,91,0.0,0.0  
4,94,91,0.0,0.0  
4,95,91,0.0,0.0  
4,98,91,0.0,0.0  
4,100,91,0.0,0.0  
4,102,91,0.0,0.0  
4,107,91,0.0,0.0  
4,108,91,0.0,0.0  
4,110,91,0.0,0.0  
4,115,91,0.0,0.0  
4,116,91,0.0,0.0  
4,117,91,0.0,0.0  
4,118,91,0.0,0.0  
4,119,91,0.0,0.0  
4,120,91,0.0,0.0  
4,122,91,0.0,0.0  
4,125,91,0.0,0.0  
4,127,91,0.0,0.0  
4,129,91,0.0,0.0  
4,131,91,0.0,0.0  
4,133,91,0.0,0.0  
4,134,91,0.0,0.0  
4,136,91,0.0,0.0  
