linkID,countyID,zoneID,roadTypeID,linkLength,linkVolume,linkAvgSpeed,linkDescription,linkAvgGrade
2,17031,0,5,0.03745459935298865,15,1.1185,Urban Unrestricted,0
3,17031,0,5,0.04227346876918908,15,1.1185,Urban Unrestricted,0
4,17031,0,5,0.014927408705021947,15,1.1185,Urban Unrestricted,0
5,17031,0,5,0.0103613299010997,15,1.1185,Urban Unrestricted,0
7,17031,0,5,0.008572614653139177,15,1.1185,Urban Unrestricted,0
8,17031,0,5,0.037555781031204626,15,1.1185,Urban Unrestricted,0
10,17031,0,5,0.032952521892137626,12,0.5,Urban Unrestricted,0
11,17031,0,5,0.027489363503927063,3,0.5,Urban Unrestricted,0
13,17031,0,5,0.021669986011409112,3,0.5,Urban Unrestricted,0
14,17031,0,5,0.023843489106077902,4,0.5,Urban Unrestricted,0
16,17031,0,5,0.03196669753289002,3,0.5,Urban Unrestricted,0
18,17031,0,5,0.004610404160212313,3,0.5,Urban Unrestricted,0
20,17031,0,5,0.038157612609979345,3,0.5,Urban Unrestricted,0
21,17031,0,5,0.02245116314390582,3,0.5,Urban Unrestricted,0
22,17031,0,5,0.030114582753659625,6,1.1185,Urban Unrestricted,0
23,17031,0,5,0.027867864592692443,3,0.5,Urban Unrestricted,0
24,17031,0,5,0.010455874586758281,3,0.5,Urban Unrestricted,0
25,17031,0,5,0.037946906305583936,3,0.5,Urban Unrestricted,0
26,17031,0,5,0.03766700542099474,5,0.5,Urban Unrestricted,0
28,17031,0,5,0.005593668298301635,5,0.5,Urban Unrestricted,0
29,17031,0,5,0.011532848883234281,5,0.5,Urban Unrestricted,0
32,17031,0,5,0.007972934292764024,57,22.27502561403509,Urban Unrestricted,0
34,17031,0,5,0.0013393376232461163,62,2.1335483870967744,Urban Unrestricted,0
35,17031,0,5,0.010640560543105316,62,16.758387096774193,Urban Unrestricted,0
36,17031,0,5,0.03373897819181847,62,25.621129032258064,Urban Unrestricted,0
37,17031,0,5,0.04110238236833919,62,28.943709677419356,Urban Unrestricted,0
38,17031,0,5,0.04549179169918601,85,8.52305882352941,Urban Unrestricted,0
41,17031,0,5,0.008232464533251029,14,10.175154285714285,Urban Unrestricted,0
43,17031,0,5,0.03653043279711975,0,0.0,Urban Unrestricted,0
44,17031,0,5,0.04345939694922808,0,0.0,Urban Unrestricted,0
45,17031,0,5,0.04002615236677265,4,22.12,Urban Unrestricted,0
47,17031,0,5,0.014177481043578213,4,8.915000000000001,Urban Unrestricted,0
49,17031,0,5,0.0071012992672389984,5,18.848000000000003,Urban Unrestricted,0
53,17031,0,5,0.024046695737475185,14,13.358647142857142,Urban Unrestricted,0
55,17031,0,5,0.02439151569883117,17,1.2435088235294118,Urban Unrestricted,0
57,17031,0,5,0.07093430172173616,24,1.1185,Urban Unrestricted,0
58,17031,0,5,0.07661672196045316,19,1.1185,Urban Unrestricted,0
59,17031,0,5,0.07611168897109068,15,1.1185,Urban Unrestricted,0
61,17031,0,5,0.07508849762544668,13,1.1185,Urban Unrestricted,0
63,17031,0,5,0.07081727951507145,14,1.1184999999999998,Urban Unrestricted,0
64,17031,0,5,0.03508604222111513,11,1.1185,Urban Unrestricted,0
65,17031,0,5,0.041931319170058705,11,1.1185,Urban Unrestricted,0
66,17031,0,5,0.0764697621960837,12,1.1185,Urban Unrestricted,0
67,17031,0,5,0.07660456789674022,27,1.1185,Urban Unrestricted,0
69,17031,0,5,0.006765160123448227,52,3.5512375,Urban Unrestricted,0
70,17031,0,5,0.012709603062656586,6,1.1185,Urban Unrestricted,0
75,17031,0,5,0.006107412481838817,88,36.946597045454546,Urban Unrestricted,0
77,17031,0,5,0.02278104994347722,72,9.531794861111113,Urban Unrestricted,0
78,17031,0,5,0.02692499239387544,48,33.637489375,Urban Unrestricted,0
81,17031,0,5,0.007297996300657969,43,5.750650697674419,Urban Unrestricted,0
82,17031,0,5,0.08930984889649685,3,0.5,Urban Unrestricted,0
83,17031,0,5,0.059290188084042704,3,0.5,Urban Unrestricted,0
85,17031,0,5,0.015025793847243401,3,0.5,Urban Unrestricted,0
87,17031,0,5,0.07314831748153233,3,0.5,Urban Unrestricted,0
93,17031,0,5,0.005437217716795774,3,0.5,Urban Unrestricted,0
94,17031,0,5,0.03951718015996406,13,4.902471538461539,Urban Unrestricted,0
95,17031,0,5,0.04593067641478199,19,26.899336315789476,Urban Unrestricted,0
98,17031,0,5,0.08270574083099712,327,3.093695749235474,Urban Unrestricted,0
100,17031,0,5,0.009468821594483779,153,1.0543137254901962,Urban Unrestricted,0
102,17031,0,5,0.07876589258145361,5,0.5,Urban Unrestricted,0
107,17031,0,5,0.07492575106758453,54,8.384814814814815,Urban Unrestricted,0
