linkID,countyID,zoneID,roadTypeID,linkLength,linkVolume,linkAvgSpeed,linkDescription,linkAvgGrade
2,17031,0,5,0.03745459935298865,25,1.1185,Urban Unrestricted,0
3,17031,0,5,0.04227346876918908,25,1.1185,Urban Unrestricted,0
4,17031,0,5,0.014927408705021947,25,1.1185,Urban Unrestricted,0
5,17031,0,5,0.0103613299010997,25,1.1185,Urban Unrestricted,0
7,17031,0,5,0.008572614653139177,25,1.1185,Urban Unrestricted,0
8,17031,0,5,0.037555781031204626,29,1.1185,Urban Unrestricted,0
10,17031,0,5,0.032952521892137626,37,3.4540489189189194,Urban Unrestricted,0
11,17031,0,5,0.027489363503927063,3,0.5,Urban Unrestricted,0
13,17031,0,5,0.021669986011409112,3,0.5,Urban Unrestricted,0
14,17031,0,5,0.023843489106077902,3,0.5,Urban Unrestricted,0
16,17031,0,5,0.03196669753289002,5,0.5,Urban Unrestricted,0
18,17031,0,5,0.004610404160212313,7,0.5,Urban Unrestricted,0
20,17031,0,5,0.038157612609979345,6,0.5,Urban Unrestricted,0
21,17031,0,5,0.02245116314390582,7,0.5,Urban Unrestricted,0
22,17031,0,5,0.030114582753659625,12,1.1185,Urban Unrestricted,0
23,17031,0,5,0.027867864592692443,4,13.71674,Urban Unrestricted,0
24,17031,0,5,0.010455874586758281,4,13.951625,Urban Unrestricted,0
25,17031,0,5,0.037946906305583936,4,12.3130225,Urban Unrestricted,0
26,17031,0,5,0.03766700542099474,6,7.179661666666667,Urban Unrestricted,0
28,17031,0,5,0.005593668298301635,6,8.596428333333334,Urban Unrestricted,0
29,17031,0,5,0.011532848883234281,10,2.3227920000000006,Urban Unrestricted,0
32,17031,0,5,0.007972934292764024,51,23.003378039215686,Urban Unrestricted,0
34,17031,0,5,0.0013393376232461163,60,2.2325,Urban Unrestricted,0
35,17031,0,5,0.010640560543105316,60,16.28666666666667,Urban Unrestricted,0
36,17031,0,5,0.03373897819181847,60,25.010833333333334,Urban Unrestricted,0
37,17031,0,5,0.04110238236833919,60,29.14333333333333,Urban Unrestricted,0
38,17031,0,5,0.04549179169918601,76,9.785789473684211,Urban Unrestricted,0
41,17031,0,5,0.008232464533251029,6,6.195381666666667,Urban Unrestricted,0
43,17031,0,5,0.03653043279711975,0,0.0,Urban Unrestricted,0
44,17031,0,5,0.04345939694922808,0,0.0,Urban Unrestricted,0
45,17031,0,5,0.04002615236677265,10,20.567,Urban Unrestricted,0
47,17031,0,5,0.014177481043578213,10,3.408,Urban Unrestricted,0
49,17031,0,5,0.0071012992672389984,12,17.066666666666666,Urban Unrestricted,0
53,17031,0,5,0.024046695737475185,17,33.48920588235294,Urban Unrestricted,0
55,17031,0,5,0.02439151569883117,21,14.834505714285715,Urban Unrestricted,0
57,17031,0,5,0.07093430172173616,14,1.1185,Urban Unrestricted,0
58,17031,0,5,0.07661672196045316,15,1.1185000000000003,Urban Unrestricted,0
59,17031,0,5,0.07611168897109068,12,1.1185,Urban Unrestricted,0
61,17031,0,5,0.07508849762544668,14,1.1185,Urban Unrestricted,0
63,17031,0,5,0.07081727951507145,12,1.1185,Urban Unrestricted,0
